severity_band,severity_band_order,loan_count,positive_loss_loan_share,total_positive_loss_amount,positive_loss_amount_share,average_positive_loss,median_positive_loss
$0-10k,1,630,0.28225806451612906,3186288.39,0.04624150307924319,5057.600619047619,5143.48
$10k-25k,2,695,0.31137992831541217,11510007.55,0.16704076480830957,16561.161942446044,16119.89
$25k-50k,3,481,0.21550179211469533,16809113.15,0.24394485443455796,34946.181185031186,33844.74
$50k-100k,4,328,0.14695340501792115,22609662.86,0.3281262292649349,68931.89896341463,67371.77
$100k+,5,98,0.04390681003584229,14790309.10,0.2146466484129544,150921.52142857143,131390.97
