origination_year,funded_loan_count,loss_loan_count,observed_loss_rate,total_recorded_loss_amount,total_positive_loss_amount,average_loss_per_funded_loan,average_loss_severity,median_loss_severity,maximum_loss_amount
2018,790,119,0.15063291139240506,4472487.78,4502387.59,5661.376936708861,29853.07117647059,18723.51,123486.60
2019,926,159,0.1717062634989201,4756191.09,4760401.47,5136.275475161987,27574.409811320755,16317.93,123285.76
2020,806,133,0.16501240694789082,5158164.76,5162553.07,6399.708138957816,36040.24684210526,16380.97,240845.64
2021,152,20,0.13157894736842105,699451.93,699451.93,4601.657434210526,29077.671,19196.11,93575.02
2022,1689,315,0.18650088809946713,9854954.74,9869325.04,5834.786702190645,31331.190603174604,22043.79,435340.45
2023,2452,655,0.2671288743882545,17866559.14,17946020.53,7286.524934747145,27394.39488549618,18385.78,440332.44
2024,1712,368,0.21495327102803738,12484790.30,12514371.14,7292.517698598131,33740.34247282609,21309.06,321281.48
2025,1473,350,0.23761031907671418,13237841.93,13450870.28,8986.993842498303,38249.760428571426,26212.95,336680.73
